controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
zero,fixed_1,0.0,-2587.9230768944826,30000,0.31442354184455357,0.2677457699883795,0.9955857839334534,0.0,0,False,1,0,500000000000.0,0.0,720.0,1.0
zero,fixed_2,0.0,1232.2935914230654,30000,0.1548053820190025,0.13155114339703372,0.9946978870793806,0.0,0,False,1,0,700000000000.0,0.2,720.0,1.0
zero,fixed_3,0.0,-8860.231126391795,30000,0.2273525873583622,0.0016557113402265778,0.9853528294169848,0.0,0,False,1,0,500000000000.0,0.05,720.0,0.4
zero,fixed_4,0.0,1209.1876583433118,30000,0.08675003652518713,0.015282265904627527,0.9973732750028406,0.0,0,False,1,0,500000000000.0,0.1,1000.0,1.0
zero,fixed_5,0.0,2274.7892194577394,30000,0.14547777347542187,0.028199082727415104,0.9920097469691582,0.0,0,False,1,0,2000000000000.0,0.0,720.0,1.0
zero,random_1,0.0,343.4746284348202,30000,0.14003720807221087,0.08614070010288027,0.9998606128272288,0.0,0,False,1,0,2758007604077.5684,0.3549670093467783,720.0,125.1339032040029
zero,random_2,0.0,4391.268340575239,30000,0.0590749937858321,0.00646318315147144,0.9995137413613953,0.0,0,False,1,0,2283613939176.9795,0.1376694853326321,720.0,118.19171041002261
zero,random_3,0.0,5052.911756715521,30000,0.018143925371730207,0.025645113279810762,0.999979315497672,0.0,0,False,1,0,3071390189122.923,0.1171889361969364,600.0,147.310722359482
zero,random_4,0.0,-2107.5767482089095,30000,0.2936225165124722,0.1471259014744576,0.999687759555352,0.0,0,False,1,0,217125853670.938,0.1661797953188444,720.0,120.70726140815057
zero,random_5,0.0,4463.398227052162,30000,0.0443019442663357,0.014423752872673442,0.9999939875039081,0.0,0,False,1,0,5895360802427.848,0.042350751269788,1000.0,126.95937157367302
zero,random_6,0.0,1046.627847743197,30000,0.09924752751348537,0.13396162782891874,0.996238592894081,0.0,0,False,1,0,4902550455020.217,0.2876436621281773,1000.0,101.9390928708895
zero,random_7,0.0,-7492.101808606122,30000,0.23304801137508063,0.043882168647437624,0.9839303871683549,0.0,0,False,1,0,361239700959.1134,0.21579368902590268,720.0,123.46694018390126
zero,random_8,0.0,4570.861993988876,30000,0.02303391469724792,0.027598223028838468,0.9995880632209218,0.0,0,False,1,0,1935904675189.3079,0.24882362801204932,1000.0,136.04283537258792
zero,random_9,0.0,1170.167960827539,30000,0.043913126701876595,0.047644042570723515,0.9903588172673014,0.0,0,False,1,0,1316583984185.8306,0.36547417103096513,1000.0,136.11074468850524
zero,random_10,0.0,4351.887768526134,30000,0.04110473192588584,0.028505331049994524,0.9998566432953286,0.0,0,False,1,0,4447038821287.577,0.30751425770444013,600.0,126.70678543252708
zero,random_11,0.0,-928.8836241093912,30000,0.18003810635676762,0.11482500202409952,0.9958774549238484,0.0,0,False,1,0,3687329230186.867,0.32200928760372927,1000.0,139.47896796974567
zero,random_12,0.0,-5638.129284729625,30000,0.19012508049407373,0.012099577254992888,0.9994461988463766,0.0,0,False,1,0,672518893415.0863,0.041569008939934586,1000.0,134.14536705017707
zero,random_13,0.0,2694.367835012767,30000,0.008473821326223263,0.20388432785682112,0.9994079473112285,0.0,0,False,1,0,8108285010823.027,0.3627390104602885,1000.0,140.6798921640596
zero,random_14,0.0,-534.5658903772015,30000,0.12243808751689747,0.13362559289670933,0.9948729680051251,0.0,0,False,1,0,2088642119321.361,0.3236328684138678,600.0,112.89339862581824
zero,random_15,0.0,489.5979374433845,30000,0.17259540098385404,0.02544185824798508,0.9993104259552845,0.0,0,False,1,0,4868855537837.845,0.36637721804762013,600.0,137.34194306225976
zero,random_16,0.0,-405.89589416457886,30000,0.17738667077782144,0.10568852838733873,0.9999404340150038,0.0,0,False,1,0,1078633832385.4099,0.28111613359826493,720.0,130.22601255683287
zero,random_17,0.0,4644.660714604878,30000,0.021977605279554984,0.03801921048812373,0.9947087215944823,0.0,0,False,1,0,1891107640129.1392,0.3589200346152126,600.0,118.08115109356024
zero,random_18,0.0,3104.9739433653076,30000,0.05105714958457507,0.09110044832282059,0.9998841737793335,0.0,0,False,1,0,9441601356783.166,0.04387709849702244,600.0,141.9006477930322
